date,video_count,sum_view,max_view,avg_view,avg_like,avg_comment
12-22,35,1477559,230117,42215.97142857143,392.0,8.657142857142857
12-23,31,1677734,476815,54120.45161290323,425.93548387096774,10.709677419354838
12-24,37,4232065,768341,114380.13513513513,817.0540540540541,33.24324324324324
12-25,29,3739816,673165,128959.1724137931,638.9310344827586,15.206896551724139
12-26,9,264428,152355,29380.88888888889,262.55555555555554,2.5555555555555554
