video_id,upload_days,title,description,tags,duration,subscriber_count,view22,like_22,comment_22,view_inc_23,view_inc_24_noon,view_inc_24_night,view_inc_25_noon,view_inc_25_night,like_inc_23,like_inc_24_noon,like_inc_24_night,like_inc_25_noon,like_inc_25_night,comment_inc_23,comment_inc_24_noon,comment_inc_24_night,comment_inc_25_noon,comment_inc_25_night,like_26,comment_26,view_26
Sa09c7TIA7o,59,2,49,21,60.583332,100000,997394,12156,290,18398,18822,9173,2491,476,222,135,88,17,3,1,2,1,0,0,12643,295,1049189
WkzQJD5M4a4,2109,0,0,0,2.4,1710000,43788,95,0,13,8,6,3,3,0,0,0,0,0,0,0,0,0,0,95,0,43827
nSDgHBxUbVQ,2422,0,0,0,4.5833335,50700000,1173592183,6052795,165593,341191,329593,123569,122673,93351,1954,1731,596,622,524,21,9,12,10,2,6059646,165643,1174827699
LcXsWt3y9ZE,1176,3,33,19,61.833332,100000,395988,1609,76,38,61,25,7,9,1,1,-1,0,0,0,0,0,0,0,1610,76,396148
GtG-myUfi7g,56,0,0,0,62.216667,37500000,615232,2507,0,1628,1359,592,468,528,2,1,0,0,2,0,0,0,0,0,2513,0,620868
K9l4D3Yn4-o,4250,0,0,0,0.35,3210000,40828,150,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,150,38,40829
zpqEEGLo7M4,1907,0,0,0,3.2666667,52400,1499,21,4,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,21,4,1505
49rAL8qzS5o,379,2,9,18,604.3,1710000,385536,2520,181,6377,8414,4954,4277,2658,39,53,28,19,9,0,3,2,1,0,2687,187,414990
QJ5DOWPGxwg,1482,1,13,12,3.4666667,3210000,93434778,395871,14621,438797,798441,357224,296645,158962,2131,3158,1218,1122,488,45,76,66,40,15,404770,14881,95651497
1v2GFon0BbY,1459,0,4,0,4.9166665,1710000,39003,200,22,133,118,38,47,16,1,2,0,1,0,0,0,0,0,0,206,22,39483
MqHTvILPMvk,462,0,0,0,54.783333,37500000,2327939,7166,0,642,224,68,111,60,1,0,0,0,0,0,0,0,0,0,7169,0,2329235
0yhI35F2NB0,1482,1,16,14,4.4666667,3210000,18230781,31474,896,100243,162325,89233,82654,48568,169,247,128,91,54,5,2,3,1,2,32225,910,18752686
wEEeq4eX8os,1385,0,0,0,7.2,1710000,434632,1127,0,35,28,9,18,10,0,0,0,1,0,0,0,0,0,0,1128,0,434770
vU2Xa5Rvd8I,234,0,0,0,1.9666667,37500000,1619084,5060,0,23878,26353,4256,14753,10764,128,134,26,92,46,0,0,0,0,0,5697,0,1735880
feyPERwulWI,1795,0,0,0,3.1833334,52400,103011,1829,68,702,968,447,435,405,13,20,5,7,7,0,0,0,0,0,1895,68,106649
Y9XtnYc4q0I,1388,0,1,0,2.8166666,52400,864752,1300,15,5724,11247,5753,5756,3648,10,8,8,5,4,0,0,0,0,0,1336,15,899323
_F3zR58cuCc,107,0,0,0,532.2167,393000,974,47,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,3,975
Pa313_gqZjY,18,2,2,15,65.05,27300,9390,86,7,22,31,4,8,4,0,0,0,0,0,0,0,0,0,0,86,7,9463
2zp83J_MRaw,333,0,0,0,500.75,393000,3394,64,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1,3395
PajmFVn6Lak,786,2,7,8,1.4,1710000,222324,837,0,1011,898,367,361,184,1,2,0,3,0,0,0,0,0,0,844,0,225549
6H9NitXyUjY,34,0,4,0,50.966667,0,21710,487,10,135,142,34,85,28,4,2,0,2,1,0,0,0,0,0,498,10,22247
Hnn99JmPzkI,383,0,0,0,297.38333,393000,493489,5786,171,24,34,15,12,4,-1,0,0,0,0,0,0,0,0,0,5785,171,493619
BKU3mf3tw3U,31,2,6,18,1.9,1710000,18253,213,32,404,434,213,173,130,1,-1,0,1,0,0,0,0,0,0,214,32,19801
UFzLyTbzzZE,691,0,0,0,20.116667,37500000,23261277,86948,0,972,782,209,291,266,2,-3,-1,-2,0,0,0,0,0,0,86945,0,23264409
zWn3YM_QXX8,754,1,7,3,3.45,1710000,36391,148,11,159,156,104,49,39,2,0,0,0,0,0,0,0,0,0,150,11,37001
ihlAaL8WvmM,26,2,6,12,82.45,393000,19985,154,4,1021,1276,737,449,481,3,11,4,3,1,0,0,0,0,0,181,4,24343
8bagQLTxmeg,465,3,53,21,78.96667,100000,152014,1309,68,367,490,105,112,43,2,3,0,2,1,0,0,0,0,0,1320,68,153290
0mO_4dY-pUM,4335,0,0,0,0.23333333,3210000,98375,379,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,80,98376
XBqjVO1uxuo,1857,0,0,0,3.2666667,52400,13423,68,3,24,44,43,17,14,0,0,0,0,0,0,0,0,0,0,68,3,13577
9b5K01tX7IE,6,0,0,0,0.0,149000,78262,474,0,11526,7056,2022,1797,1451,45,30,5,2,5,0,0,0,0,0,571,0,104570
9b5K01tX7IE,6,0,0,0,0.0,149000,77911,474,0,11877,7056,2022,1797,1451,45,30,5,2,5,0,0,0,0,0,571,0,104570
voCrQ1ebEdU,2312,0,0,0,2.3833334,37500000,89690570,0,0,66823,49088,17876,17407,13262,0,0,0,0,0,0,0,0,0,0,0,0,89898453
0TvmLsn8IB8,213,0,0,0,2.1666667,37500000,3210208,13107,0,16920,20448,5324,11256,7044,57,79,21,50,25,0,0,0,0,0,13465,0,3296954
hUCj91GYIq0,288,0,0,0,75.48333,0,2326,34,4,7,4,0,3,0,0,0,0,0,0,0,0,0,0,0,34,4,2342
PERLRHGN-qM,21,3,7,17,714.1,0,242762,1429,37,15793,19358,3259,7355,3350,54,56,4,28,5,2,2,0,2,2,1604,45,298437
jq-iqPkFFtA,140,2,13,13,68.833336,393000,6580,43,1,529,485,270,143,253,1,0,2,0,2,0,0,0,0,0,48,1,8388
sxonmPm9qcw,44,0,0,0,0.23333333,3210000,27798,1700,89,246,219,118,97,68,14,7,3,6,4,1,0,0,0,0,1739,90,28702
o26qoCYLdS8,1891,0,0,0,214.43333,3410000,22973296,120082,3068,7832,6989,3236,2423,2391,66,50,22,20,23,1,0,1,0,0,120305,3070,23002085
UTsUqrhhAz8,3737,0,0,1,0.5,3210000,83243,320,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,36,83245
